sentence,token_id,form,children,child_labels
2,13-14,des,de les,ADP+DET
3,20-21,du,de le,ADP+DET
4,1-2,Aux,À les,ADP+DET
4,15-16,au,à le,ADP+DET
4,18-19,du,de le,ADP+DET
5,16-17,au,à le,ADP+DET
6,13-14,du,de le,ADP+DET
6,24-25,desdites,de lesdites,ADP+DET
9,9-10,du,de le,ADP+DET
9,45-46,des,de les,ADP+DET
10,1-2,Au,À le,ADP+DET
10,13-14,des,de les,ADP+DET
12,10-11,du,de le,ADP+DET
15,4-5,du,de le,ADP+DET
16,12-13,des,de les,ADP+DET
16,16-17,des,de les,ADP+DET
16,20-21,des,de les,ADP+DET
16,23-24,des,de les,ADP+DET
18,19-20,des,de les,ADP+DET
20,15-16,du,de le,ADP+DET
23,17-18,du,de le,ADP+DET
23,24-25,des,de les,ADP+DET
24,17-18,des,de les,ADP+DET
24,25-26,au,à le,ADP+DET
24,43-44,au,à le,ADP+DET
26,5-6,aux,à les,ADP+DET
26,12-13,des,de les,ADP+DET
26,18-19,du,de le,ADP+DET
26,29-30,du,de le,ADP+DET
26,48-49,du,de le,ADP+DET
26,54-55,du,de le,ADP+DET
26,62-63,du,de le,ADP+DET
27,20-21,des,de les,ADP+DET
27,43-44,du,de le,ADP+DET
28,5-6,au,à le,ADP+DET
28,8-9,du,de le,ADP+DET
28,11-12,du,de le,ADP+DET
28,14-15,des,de les,ADP+DET
29,26-27,au,à le,ADP+DET
31,11-12,aux,à les,ADP+DET
31,29-30,au,à le,ADP+DET
31,36-37,des,de les,ADP+DET
32,20-21,au,à le,ADP+DET
33,33-34,du,de le,ADP+DET
35,25-26,du,de le,ADP+DET
42,11-12,au,à le,ADP+DET
43,18-19,du,de le,ADP+DET
43,21-22,des,de les,ADP+DET
44,15-16,du,de le,ADP+DET
44,30-31,aux,à les,ADP+DET
47,9-10,des,de les,ADP+DET
48,19-20,au,à le,ADP+DET
50,24-25,du,de le,ADP+DET
54,36-37,du,de le,ADP+DET
56,7-8,du,de le,ADP+DET
57,3-4,du,de le,ADP+DET
57,9-10,au,à le,ADP+DET
58,13-14,des,de les,ADP+DET
65,9-10,aux,à les,ADP+DET
69,10-11,aux,à les,ADP+DET
71,24-25,du,de le,ADP+DET
72,9-10,au,à le,ADP+DET
74,19-20,au,à le,ADP+DET
77,15-16,du,de le,ADP+DET
77,22-23,des,de les,ADP+DET
79,17-18,des,de les,ADP+DET
87,10-11,des,de les,ADP+DET
88,18-19,des,de les,ADP+DET
89,10-11,du,de le,ADP+DET
89,38-39,des,de les,ADP+DET
90,3-4,du,de le,ADP+DET
90,26-27,des,de les,ADP+DET
90,33-34,du,de le,ADP+DET
90,42-43,du,de le,ADP+DET
91,9-10,des,de les,ADP+DET
99,29-30,du,de le,ADP+DET
100,14-15,du,de le,ADP+DET
102,13-14,au,à le,ADP+DET
102,19-20,au,à le,ADP+DET
102,33-34,du,de le,ADP+DET
103,4-5,au,à le,ADP+DET
103,7-8,des,de les,ADP+DET
104,20-21,du,de le,ADP+DET
106,6-7,du,de le,ADP+DET
106,9-10,du,de le,ADP+DET
108,25-26,des,de les,ADP+DET
109,15-16,au,à le,ADP+DET
111,12-13,des,de les,ADP+DET
116,16-17,des,de les,ADP+DET
117,25-26,des,de les,ADP+DET
119,6-7,aux,à les,ADP+DET
119,13-14,au,à le,ADP+DET
120,9-10,du,de le,ADP+DET
121,4-5,des,de les,ADP+DET
125,14-15,des,de les,ADP+DET
128,3-4,des,de les,ADP+DET
129,10-11,aux,à les,ADP+DET
129,25-26,au,à le,ADP+DET
129,34-35,au,à le,ADP+DET
131,11-12,des,de les,ADP+DET
132,6-7,des,de les,ADP+DET
134,14-15,des,de les,ADP+DET
136,13-14,du,de le,ADP+DET
138,22-23,des,de les,ADP+DET
139,18-19,des,de les,ADP+DET
139,32-33,des,de les,ADP+DET
139,35-36,au,à le,ADP+DET
140,3-4,du,de le,ADP+DET
140,16-17,des,de les,ADP+DET
142,8-9,au,à le,ADP+DET
147,24-25,au,à le,ADP+DET
147,27-28,du,de le,ADP+DET
152,13-14,des,de les,ADP+DET
152,28-29,du,de le,ADP+DET
152,32-33,du,de le,ADP+DET
156,6-7,du,de le,ADP+DET
158,20-21,du,de le,ADP+DET
158,43-44,du,de le,ADP+DET
158,53-54,du,de le,ADP+DET
161,6-7,des,de les,ADP+DET
164,26-27,du,de le,ADP+DET
166,3-4,des,de les,ADP+DET
166,26-27,du,de le,ADP+DET
166,29-30,du,de le,ADP+DET
167,5-6,du,de le,ADP+DET
186,18-19,du,de le,ADP+DET
190,17-18,aux,à les,ADP+DET
192,17-18,au,à le,ADP+DET
196,2-3,des,de les,ADP+DET
198,22-23,au,à le,ADP+DET
198,32-33,des,de les,ADP+DET
198,43-44,aux,à les,ADP+DET
200,20-21,des,de les,ADP+DET
205,4-5,du,de le,ADP+DET
206,3-4,au,à le,ADP+DET
213,10-11,des,de les,ADP+DET
216,5-6,DES,DE les,ADP+DET
216,11-12,DES,DE les,ADP+DET
222,10-11,du,de le,ADP+DET
230,11-12,au,à le,ADP+DET
230,14-15,des,de les,ADP+DET
233,7-8,des,de les,ADP+DET
236,29-30,des,de les,ADP+DET
236,42-43,au,à le,ADP+DET
236,50-51,des,de les,ADP+DET
237,21-22,au,à le,ADP+DET
238,7-8,des,de les,ADP+DET
238,12-13,au,à le,ADP+DET
238,37-38,des,de les,ADP+DET
239,3-4,des,de les,ADP+DET
239,28-29,des,de les,ADP+DET
244,4-5,du,de le,ADP+DET
244,7-8,des,de les,ADP+DET
244,24-25,du,de le,ADP+DET
245,4-5,du,de le,ADP+DET
245,24-25,du,de le,ADP+DET
249,18-19,au,à le,ADP+DET
256,51-52,du,de le,ADP+DET
256,54-55,du,de le,ADP+DET
256,59-60,au,à le,ADP+DET
256,74-75,du,de le,ADP+DET
256,77-78,du,de le,ADP+DET
257,3-4,des,de les,ADP+DET
258,1-2,Au,À le,ADP+DET
262,16-17,aux,à les,ADP+DET
262,33-34,des,de les,ADP+DET
263,18-19,du,de le,ADP+DET
264,19-20,du,de le,ADP+DET
266,9-10,des,de les,ADP+DET
268,15-16,au,à le,ADP+DET
268,20-21,au,à le,ADP+DET
268,25-26,au,à le,ADP+DET
269,6-7,au,à le,ADP+DET
269,14-15,au,à le,ADP+DET
269,26-27,au,à le,ADP+DET
271,3-4,des,de les,ADP+DET
272,25-26,au,à le,ADP+DET
275,43-44,du,de le,ADP+DET
275,54-55,du,de le,ADP+DET
275,75-76,des,de les,ADP+DET
291,15-16,du,de le,ADP+DET
292,4-5,du,de le,ADP+DET
297,15-16,des,de les,ADP+DET
298,4-5,des,de les,ADP+DET
299,3-4,du,de le,ADP+DET
304,3-4,des,de les,ADP+DET
304,16-17,des,de les,ADP+DET
305,6-7,des,de les,ADP+DET
306,15-16,des,de les,ADP+DET
309,15-16,des,de les,ADP+DET
309,23-24,des,de les,ADP+DET
310,3-4,des,de les,ADP+DET
310,10-11,au,à le,ADP+DET
310,31-32,des,de les,ADP+DET
312,10-11,des,de les,ADP+DET
315,5-6,du,de le,ADP+DET
315,8-9,du,de le,ADP+DET
323,3-4,du,de le,ADP+DET
323,11-12,au,à le,ADP+DET
323,35-36,du,de le,ADP+DET
324,9-10,des,de les,ADP+DET
324,21-22,au,à le,ADP+DET
324,24-25,du,de le,ADP+DET
326,19-20,du,de le,ADP+DET
326,42-43,du,de le,ADP+DET
331,5-6,du,de le,ADP+DET
333,17-18,des,de les,ADP+DET
336,3-4,des,de les,ADP+DET
336,16-17,des,de les,ADP+DET
336,20-21,du,de le,ADP+DET
336,36-37,du,de le,ADP+DET
338,39-40,aux,à les,ADP+DET
339,15-16,du,de le,ADP+DET
341,3-4,des,de les,ADP+DET
342,2-3,des,de les,ADP+DET
345,8-9,du,de le,ADP+DET
345,48-49,du,de le,ADP+DET
346,6-7,au,à le,ADP+DET
349,7-8,du,de le,ADP+DET
349,21-22,aux,à les,ADP+DET
349,50-51,des,de les,ADP+DET
350,18-19,du,de le,ADP+DET
350,60-61,du,de le,ADP+DET
350,64-65,au,à le,ADP+DET
350,84-85,du,de le,ADP+DET
350,90-91,des,de les,ADP+DET
350,98-99,du,de le,ADP+DET
350,113-114,aux,à les,ADP+DET
350,132-133,au,à le,ADP+DET
351,30-31,des,de les,ADP+DET
351,34-35,du,de le,ADP+DET
351,37-38,des,de les,ADP+DET
351,59-60,du,de le,ADP+DET
355,7-8,des,de les,ADP+DET
359,11-12,aux,à les,ADP+DET
359,26-27,au,à le,ADP+DET
360,13-14,des,de les,ADP+DET
361,37-38,des,de les,ADP+DET
361,42-43,du,de le,ADP+DET
362,26-27,au,à le,ADP+DET
362,38-39,du,de le,ADP+DET
362,41-42,des,de les,ADP+DET
362,58-59,du,de le,ADP+DET
365,29-30,des,de les,ADP+DET
365,35-36,des,de les,ADP+DET
366,29-30,du,de le,ADP+DET
366,33-34,au,à le,ADP+DET
366,40-41,des,de les,ADP+DET
366,51-52,du,de le,ADP+DET
369,34-35,au,à le,ADP+DET
369,37-38,des,de les,ADP+DET
370,16-17,du,de le,ADP+DET
370,23-24,des,de les,ADP+DET
380,5-6,des,de les,ADP+DET
380,18-19,aux,à les,ADP+DET
381,12-13,du,de le,ADP+DET
382,16-17,des,de les,ADP+DET
382,21-22,aux,à les,ADP+DET
383,13-14,aux,à les,ADP+DET
384,18-19,aux,à les,ADP+DET
385,9-10,du,de le,ADP+DET
386,4-5,des,de les,ADP+DET
388,7-8,du,de le,ADP+DET
388,10-11,du,de le,ADP+DET
389,25-26,des,de les,ADP+DET
389,29-30,du,de le,ADP+DET
394,4-5,du,de le,ADP+DET
394,31-32,aux,à les,ADP+DET
398,26-27,des,de les,ADP+DET
399,14-15,du,de le,ADP+DET
399,33-34,aux,à les,ADP+DET
400,15-16,du,de le,ADP+DET
403,18-19,des,de les,ADP+DET
403,21-22,au,à le,ADP+DET
403,28-29,du,de le,ADP+DET
405,9-10,des,de les,ADP+DET
405,15-16,des,de les,ADP+DET
406,8-9,des,de les,ADP+DET
407,4-5,du,de le,ADP+DET
408,2-3,des,de les,ADP+DET
409,3-4,des,de les,ADP+DET
409,11-12,des,de les,ADP+DET
409,15-16,des,de les,ADP+DET
409,24-25,des,de les,ADP+DET
409,27-28,du,de le,ADP+DET
409,30-31,des,de les,ADP+DET
410,2-3,des,de les,ADP+DET
410,69-70,au,à le,ADP+DET
411,9-10,du,de le,ADP+DET
411,15-16,au,à le,ADP+DET
412,3-4,au,à le,ADP+DET
412,32-33,des,de les,ADP+DET
417,50-51,du,de le,ADP+DET
422,11-12,au,à le,ADP+DET
425,10-11,des,de les,ADP+DET
426,13-14,des,de les,ADP+DET
427,4-5,du,de le,ADP+DET
430,2-3,du,de le,ADP+DET
434,32-33,au,à le,ADP+DET
434,35-36,du,de le,ADP+DET
439,19-20,du,de le,ADP+DET
439,26-27,du,de le,ADP+DET
439,31-32,du,de le,ADP+DET
447,8-9,des,de les,ADP+DET
447,16-17,des,de les,ADP+DET
448,33-34,aux,à les,ADP+DET
450,6-7,au,à le,ADP+DET
450,13-14,du,de le,ADP+DET
450,18-19,du,de le,ADP+DET
451,11-12,des,de les,ADP+DET
